,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CCDC34,0,0.653999779922776,0.705,0.385,0,7,CCDC34
NUDT12,0,0.651993035392597,0.743,0.4,0,7,NUDT1
MCM73,0,0.64877837692394,0.713,0.411,0,7,MCM7
CCDC18,0,0.645204752484663,0.45,0.092,0,7,CCDC18
KIF18A,0,0.645111292843164,0.408,0.048,0,7,KIF18A
B2M2,0,0.644644215440596,0.84,0.529,0,7,B2M
MARCKS3,0,0.644339928655281,0.995,0.953,0,7,MARCKS
FOXM11,0,0.644173885651924,0.495,0.1,0,7,FOXM1
CMC2,0,0.639194680548748,0.71,0.364,0,7,CMC2
NDE1,0,0.636494329287068,0.383,0.063,0,7,NDE1
PFN21,0,0.634154811920828,0.956,0.829,0,7,PFN2
RNASEH2B,0,0.631744433012029,0.602,0.339,0,7,RNASEH2B
CENPH2,0,0.629813834320128,0.595,0.264,0,7,CENPH
KIF14,0,0.629200349433532,0.396,0.056,0,7,KIF14
SAPCD2,0,0.628410987625866,0.358,0.037,0,7,SAPCD2
DHFR2,0,0.628071818218043,0.479,0.212,0,7,DHFR
SMC31,0,0.624077737293335,0.923,0.757,0,7,SMC3
H2AFY,0,0.621736649146841,0.947,0.799,0,7,H2AFY
NCAPH,0,0.620418955177186,0.457,0.071,0,7,NCAPH
CLSPN2,0,0.619878500157868,0.492,0.24,0,7,CLSPN
CEP55,0,0.615984003961005,0.381,0.037,0,7,CEP55
NMU1,0,0.612628660776187,0.332,0.091,0,7,NMU
ACYP11,0,0.612042215211921,0.701,0.366,0,7,ACYP1
CDC25C,0,0.609101983385052,0.405,0.052,0,7,CDC25C
TUBB3,0,0.608201040714958,0.998,0.995,0,7,TUBB
EMX22,0,0.606186161370498,0.561,0.236,0,7,EMX2
RP11-620J15.31,0,0.601503281945466,0.387,0.131,0,7,RP11-620J15.3
SPC24,0,0.601352305911553,0.42,0.066,0,7,SPC24
G2E3,0,0.598505006740814,0.567,0.279,0,7,G2E3
EMC9,0,0.59823687036151,0.566,0.257,0,7,EMC9
DMRTA21,0,0.592780125634852,0.408,0.114,0,7,DMRTA2
BARD11,0,0.589792215769992,0.526,0.183,0,7,BARD1
MYEF2,0,0.587439546654659,0.726,0.431,0,7,MYEF2
HMG20B,0,0.586454990909183,0.624,0.295,0,7,HMG20B
NCAPD2,0,0.582505886264321,0.401,0.069,0,7,NCAPD2
BORA,0,0.581698621461354,0.339,0.052,0,7,BORA
ESCO2,0,0.581595843582561,0.399,0.067,0,7,ESCO2
CALM21,0,0.575294691217815,0.998,0.986,0,7,CALM2
GPX42,0,0.571184618031785,0.985,0.884,0,7,GPX4
MT2A2,0,0.570947690265298,0.41,0.133,0,7,MT2A
ECI21,0,0.568750144210783,0.662,0.36,0,7,ECI2
PARPBP1,0,0.567410982465679,0.44,0.111,0,7,PARPBP
CENPC,0,0.564015840698747,0.502,0.167,0,7,CENPC
ASRGL1,0,0.55988553074247,0.583,0.275,0,7,ASRGL1
PCM11,0,0.556796633310935,0.82,0.578,0,7,PCM1
SKA31,0,0.555843703409754,0.467,0.109,0,7,SKA3
ZEB12,0,0.555559411143519,0.556,0.187,0,7,ZEB1
