,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
NEUROD6,0,3.6748555950034,0.928,0.067,0,0,NEUROD6
NEUROD2,0,3.21438318721682,0.911,0.045,0,0,NEUROD2
CSRP2,0,2.55865683192601,0.908,0.652,0,0,CSRP2
BHLHE22,0,2.36744206713336,0.67,0.028,0,0,BHLHE22
LMO3,0,2.1259855573517,0.563,0.189,0,0,LMO3
NFIB,0,2.08897678739862,0.907,0.363,0,0,NFIB
SLA,0,2.04924204739418,0.665,0.018,0,0,SLA
GPM6A,0,2.04548988993266,0.984,0.457,0,0,GPM6A
HGNC:24955,0,2.0338036892142,0.618,0.078,0,0,HGNC:24955
MEF2C,0,1.96479617619402,0.48,0.108,0,0,MEF2C
JPT1,0,1.83477019251226,0.676,0.338,0,0,JPT1
SYT4,0,1.81370581690324,0.612,0.082,0,0,SYT4
STMN2,0,1.75557981981121,0.934,0.395,0,0,STMN2
CPE,0,1.68910539176074,0.965,0.546,0,0,CPE
GAP43,0,1.61241255740124,0.898,0.46,0,0,GAP43
SOX11,0,1.61000839365995,0.986,0.799,0,0,SOX11
RTN1,0,1.58230503426817,0.901,0.393,0,0,RTN1
SSTR2,0,1.54536826089517,0.555,0.094,0,0,SSTR2
TUBA1C,0,1.51633531059117,0.684,0.531,0,0,TUBA1C
NELL2,0,1.47437931400442,0.704,0.252,0,0,NELL2
THSD7A,0,1.45352327284586,0.569,0.093,0,0,THSD7A
DCX,0,1.44229801300401,0.984,0.482,0,0,DCX
ENC1,0,1.43790222505266,0.679,0.304,0,0,ENC1
HGNC:18790,0,1.43396142599532,0.61,0.149,0,0,HGNC:18790
BASP1,0,1.43135661809755,0.997,0.883,0,0,BASP1
ZBTB18,0,1.42200723787158,0.649,0.097,0,0,ZBTB18
NFIA,0,1.39968258828165,0.775,0.291,0,0,NFIA
KIF5C,0,1.38971780801802,0.93,0.581,0,0,KIF5C
CAMKV,0,1.37473461515144,0.66,0.124,0,0,CAMKV
SNAP25,0,1.36493367313286,0.657,0.153,0,0,SNAP25
PCSK1N,0,1.33561326606634,0.944,0.524,0,0,PCSK1N
GRIA2,0,1.32250745286855,0.674,0.119,0,0,GRIA2
TTC9B,0,1.26992951826569,0.744,0.168,0,0,TTC9B
RBFOX2,0,1.26704649905604,0.9,0.505,0,0,RBFOX2
MLLT11,0,1.26064008734529,0.994,0.825,0,0,MLLT11
CELF2,0,1.24910865989355,0.839,0.464,0,0,CELF2
MAPT,0,1.24641818661275,0.792,0.246,0,0,MAPT
PPP2R2B,0,1.24360964565804,0.753,0.29,0,0,PPP2R2B
THRA,0,1.23533984638747,0.816,0.296,0,0,THRA
CRMP1,0,1.22710725004209,0.92,0.582,0,0,CRMP1
CAMK2B,0,1.22418923873745,0.57,0.081,0,0,CAMK2B
IDS,0,1.22352263377908,0.693,0.278,0,0,IDS
SYT1,0,1.22139670326338,0.896,0.524,0,0,SYT1
MAP1B,0,1.21361427880493,0.996,0.926,0,0,MAP1B
STMN4,0,1.20414187810603,0.911,0.451,0,0,STMN4
NBEA,0,1.19587385744169,0.58,0.183,0,0,NBEA
BCL11A,0,1.1945209571449,0.703,0.292,0,0,BCL11A
CALM1,0,1.17692847309846,0.984,0.921,0,0,CALM1
EEF1A2,0,1.16870073167418,0.562,0.114,0,0,EEF1A2
MAP2,0,1.16825359170239,0.895,0.465,0,0,MAP2
EXOC4,0,1.15556710188922,0.455,0.177,0,0,EXOC4
ARPP21,0,1.15040075119814,0.505,0.062,0,0,ARPP21
CDK5R1,0,1.1467811705918,0.706,0.189,0,0,CDK5R1
TMSB10,0,1.14320556723969,0.999,0.995,0,0,TMSB10
RAB3A,0,1.13859684048681,0.819,0.274,0,0,RAB3A
SOX4,0,1.12995818954747,1,0.946,0,0,SOX4
TMEM35A,0,1.1247218115088,0.488,0.087,0,0,TMEM35A
AFDN,0,1.12417572383724,0.573,0.191,0,0,AFDN
SNCA,0,1.12372304866501,0.627,0.218,0,0,SNCA
SYP,0,1.11494426208627,0.707,0.193,0,0,SYP
LY6H,0,1.11174397457547,0.717,0.249,0,0,LY6H
CHD3,0,1.11096913213847,0.71,0.234,0,0,CHD3
TSPAN13,0,1.09321456382705,0.839,0.462,0,0,TSPAN13
NRN1,0,1.08930253186879,0.479,0.086,0,0,NRN1
SOX5,0,1.08661718085187,0.557,0.131,0,0,SOX5
FRMD4B,0,1.08640816518069,0.573,0.179,0,0,FRMD4B
KIDINS220,0,1.08570610749387,0.765,0.35,0,0,KIDINS220
CAMK2N1,0,1.07906479881168,0.779,0.336,0,0,CAMK2N1
STMN1,0,1.07665981983931,0.999,0.98,0,0,STMN1
BEX1,0,1.07219769178786,0.938,0.685,0,0,BEX1
ELAVL3,0,1.07147360105377,0.908,0.402,0,0,ELAVL3
NCAM1,0,1.06276536757311,0.759,0.374,0,0,NCAM1
ID2,0,1.06196127410417,0.702,0.468,0,0,ID2
TUBA1A,0,1.05736145345214,1,0.967,0,0,TUBA1A
PAK3,0,1.03633361175349,0.858,0.426,0,0,PAK3
GNG3,0,1.03517831883179,0.754,0.326,0,0,GNG3
FAM49A,0,1.03429320294018,0.523,0.079,0,0,FAM49A
FGF13,0,1.03353363438746,0.643,0.302,0,0,FGF13
TMEM132A,0,1.02823933357346,0.678,0.261,0,0,TMEM132A
PDE1A,0,1.02405328689606,0.486,0.071,0,0,PDE1A
GPR22,0,1.019766708797,0.299,0.018,0,0,GPR22
TBR1,0,1.01304528464696,0.5,0.028,0,0,TBR1
RUFY3,0,1.01274438318875,0.84,0.455,0,0,RUFY3
CNTNAP2,0,1.01130019362521,0.645,0.409,0,0,CNTNAP2
VAMP2,0,1.0079264379449,0.937,0.686,0,0,VAMP2
DPYSL2,0,1.00437206618613,0.826,0.604,0,0,DPYSL2
BCHE,0,0.998959937381392,0.429,0.139,0,0,BCHE
SERPINI1,0,0.988186484103874,0.396,0.075,0,0,SERPINI1
CLMP,0,0.984882014933312,0.474,0.087,0,0,CLMP
TUBB2A,0,0.984610623796201,0.958,0.707,0,0,TUBB2A
SPTAN1,0,0.979038403743486,0.674,0.281,0,0,SPTAN1
ELAVL4,0,0.973370261198837,0.857,0.32,0,0,ELAVL4
CNIH2,0,0.972401099176689,0.575,0.141,0,0,CNIH2
TTC3,0,0.969441615768158,0.989,0.826,0,0,TTC3
SRGAP1,0,0.961179392180128,0.702,0.292,0,0,SRGAP1
SEZ6L2,0,0.956615994638262,0.721,0.26,0,0,SEZ6L2
CNR1,0,0.95448424441834,0.493,0.048,0,0,CNR1
BEX3,0,0.953717474700789,0.678,0.366,0,0,BEX3
ANK2,0,0.940894270412387,0.571,0.214,0,0,ANK2
STXBP1,0,0.932300384551022,0.673,0.229,0,0,STXBP1
KIF21B,0,0.923008904978034,0.482,0.079,0,0,KIF21B
NRXN1,0,0.918510426669559,0.722,0.275,0,0,NRXN1
MAP1LC3A,0,0.917910810146832,0.661,0.283,0,0,MAP1LC3A
OLFM1,0,0.916627464167547,0.602,0.236,0,0,OLFM1
TMEM59L,0,0.915157993294498,0.66,0.241,0,0,TMEM59L
KHDRBS3,0,0.912497743186603,0.469,0.171,0,0,KHDRBS3
UCHL1,0,0.91025419845908,0.96,0.834,0,0,UCHL1
AMY1B,0,0.910078868328896,0.655,0.348,0,0,AMY1B
LINGO1,0,0.9075089042791,0.539,0.154,0,0,LINGO1
GNAO1,0,0.904968113329307,0.599,0.183,0,0,GNAO1
BCL11B,0,0.90266674971733,0.465,0.099,0,0,BCL11B
CDC42EP3,0,0.902130342716593,0.589,0.215,0,0,CDC42EP3
SCN3B,0,0.901372336515586,0.523,0.1,0,0,SCN3B
REEP1,0,0.900286746000296,0.558,0.14,0,0,REEP1
RTN4,0,0.898944041264886,0.988,0.939,0,0,RTN4
GDI1,0,0.894402707799259,0.858,0.532,0,0,GDI1
AUTS2,0,0.890746381404983,0.628,0.303,0,0,AUTS2
PBX1,0,0.886702139829172,0.793,0.601,0,0,PBX1
EVL,0,0.883666009918168,0.783,0.44,0,0,EVL
C3orf14,0,0.873056709728627,0.71,0.388,0,0,C3orf14
GNAI1,0,0.868486844636677,0.572,0.193,0,0,GNAI1
SEPT3,0,0.867707166708524,0.635,0.224,0,0,SEPT3
EFNB2,0,0.867523399081227,0.743,0.344,0,0,EFNB2
PIK3R1,0,0.866239355791142,0.497,0.197,0,0,PIK3R1
C4orf48,0,0.86580707987189,0.908,0.704,0,0,C4orf48
SEZ6,0,0.865538776514541,0.479,0.057,0,0,SEZ6
MACF1,0,0.862363450464885,0.76,0.513,0,0,MACF1
FAM89B,0,0.85893711621462,0.68,0.293,0,0,FAM89B
RASL11B,0,0.858747003424619,0.446,0.151,0,0,RASL11B
CDKN2D,0,0.851746923029063,0.657,0.228,0,0,CDKN2D
KLC1,0,0.851138838890073,0.83,0.502,0,0,KLC1
PPFIA2,0,0.847579144610234,0.531,0.107,0,0,PPFIA2
IGFBP5,0,0.834680683085836,0.313,0.176,0,0,IGFBP5
TMOD2,0,0.832711177676568,0.509,0.115,0,0,TMOD2
CEP170,0,0.829984401468583,0.76,0.405,0,0,CEP170
JUN,0,0.829004735379681,0.721,0.488,0,0,JUN
CELF3,0,0.826504914882093,0.587,0.123,0,0,CELF3
YWHAH,0,0.823428024934317,0.882,0.772,0,0,YWHAH
DNER,0,0.820159744601674,0.662,0.314,0,0,DNER
AMER2,0,0.817953887480662,0.568,0.138,0,0,AMER2
NEFM,0,0.815543266060077,0.473,0.186,0,0,NEFM
RBFOX1,0,0.808722951923465,0.432,0.077,0,0,RBFOX1
INA,0,0.807211567678667,0.695,0.254,0,0,INA
KIFAP3,0,0.807010383903284,0.649,0.244,0,0,KIFAP3
ADCY1,0,0.805427722013746,0.319,0.065,0,0,ADCY1
PAFAH1B3,0,0.801953035293146,0.925,0.791,0,0,PAFAH1B3
MYT1L,0,0.801555593964455,0.498,0.084,0,0,MYT1L
FOXG1,0,0.801203060123331,0.723,0.311,0,0,FOXG1
GRIA1,0,0.800757636501116,0.471,0.084,0,0,GRIA1
APLP1,0,0.799924808270728,0.787,0.428,0,0,APLP1
HDGFL3,0,0.799016457499915,0.481,0.17,0,0,HDGFL3
PRKAR2B,0,0.797360588907372,0.536,0.2,0,0,PRKAR2B
PGM2L1,0,0.796610294939049,0.66,0.333,0,0,PGM2L1
GADD45G,0,0.796518752175437,0.552,0.239,0,0,GADD45G
BMPR2,0,0.794668697585004,0.582,0.238,0,0,BMPR2
PKIA,0,0.793849508398488,0.638,0.297,0,0,PKIA
GRIN2B,0,0.793775424671426,0.421,0.077,0,0,GRIN2B
TAGLN3,0,0.788887636266173,0.877,0.405,0,0,TAGLN3
NPDC1,0,0.788172780319424,0.746,0.42,0,0,NPDC1
C2orf80,0,0.786862807313542,0.455,0.079,0,0,C2orf80
ZEB2,0,0.785187195096008,0.58,0.234,0,0,ZEB2
BEX2,0,0.785084994931242,0.822,0.61,0,0,BEX2
PLXNA4,0,0.784655428540644,0.346,0.032,0,0,PLXNA4
GABBR2,0,0.78249454798348,0.369,0.032,0,0,GABBR2
AC004158.1,0,0.780778851601712,0.326,0.017,0,0,AC004158.1
SLC17A7,0,0.775493262841401,0.375,0.013,0,0,SLC17A7
NOL4,0,0.775085946721115,0.508,0.106,0,0,NOL4
KIF1A,0,0.773793679388283,0.727,0.443,0,0,KIF1A
CELF4,0,0.772304049825217,0.602,0.196,0,0,CELF4
NRP2,0,0.771771783087561,0.455,0.171,0,0,NRP2
NSD3,0,0.770541758983311,0.56,0.245,0,0,NSD3
FAM57B,0,0.769880748185328,0.671,0.263,0,0,FAM57B
CLASP2,0,0.767317882614225,0.568,0.218,0,0,CLASP2
TERF2IP,0,0.765974599936253,0.922,0.634,0,0,TERF2IP
DCLK1,0,0.76533203108626,0.579,0.243,0,0,DCLK1
GRIA3,0,0.764258030644441,0.456,0.098,0,0,GRIA3
SCG3,0,0.763984398950232,0.712,0.309,0,0,SCG3
FAM3C,0,0.76159743454772,0.666,0.455,0,0,FAM3C
R3HDM1,0,0.759765887318864,0.433,0.21,0,0,R3HDM1
C9orf16,0,0.754899335071197,0.841,0.664,0,0,C9orf16
SATB2,0,0.753998831448005,0.254,0.012,0,0,SATB2
DLG2,0,0.753219249983471,0.408,0.083,0,0,DLG2
ARID4A,0,0.752489393074337,0.746,0.419,0,0,ARID4A
XPR1,0,0.749684577632534,0.569,0.257,0,0,XPR1
DPYSL3,0,0.748012429799987,0.739,0.51,0,0,DPYSL3
CTXN1,0,0.743897613288632,0.624,0.327,0,0,CTXN1
GNAQ,0,0.742969393319217,0.635,0.384,0,0,GNAQ
PTPRD,0,0.739573494985925,0.452,0.151,0,0,PTPRD
NDFIP1,0,0.738012339845707,0.867,0.682,0,0,NDFIP1
TCEAL4,0,0.737776736194417,0.892,0.771,0,0,TCEAL4
CDKL5,0,0.736225085833059,0.44,0.116,0,0,CDKL5
WRB,0,0.733823241547022,0.799,0.582,0,0,WRB
NEGR1,0,0.733289215489113,0.305,0.08,0,0,NEGR1
DSEL,0,0.73295518213477,0.316,0.108,0,0,DSEL
IGSF3,0,0.732429425621175,0.451,0.139,0,0,IGSF3
FXYD6,0,0.73111078767988,0.878,0.695,0,0,FXYD6
AKT3,0,0.729875543815006,0.526,0.169,0,0,AKT3
YWHAG,0,0.726574845370912,0.771,0.549,0,0,YWHAG
ELOB,0,0.720989328411717,0.648,0.351,0,0,ELOB
NDP,0,0.719906943928264,0.306,0.067,0,0,NDP
LRRC7,0,0.716104187008998,0.422,0.059,0,0,LRRC7
SLC50A1,0,0.715572077405371,0.523,0.291,0,0,SLC50A1
FAM126A,0,0.714796129432171,0.475,0.193,0,0,FAM126A
CAP2,0,0.714215049874714,0.537,0.216,0,0,CAP2
PCLO,0,0.71166932492152,0.429,0.101,0,0,PCLO
L1CAM,0,0.707195137373896,0.418,0.079,0,0,L1CAM
GNG2,0,0.70708524634177,0.609,0.25,0,0,GNG2
ELOC,0,0.707000525165786,0.562,0.282,0,0,ELOC
FEZ1,0,0.70631332714225,0.905,0.663,0,0,FEZ1
CLTB,0,0.703621177865922,0.681,0.42,0,0,CLTB
CSRNP3,0,0.702443605413725,0.566,0.23,0,0,CSRNP3
PPP3CA,0,0.701951893686111,0.551,0.29,0,0,PPP3CA
ATP9A,0,0.700304436307309,0.445,0.123,0,0,ATP9A
NETO2,0,0.697813123506253,0.517,0.246,0,0,NETO2
GNB1,0,0.69432549830888,0.752,0.552,0,0,GNB1
CCDC112,0,0.694313728416302,0.732,0.431,0,0,CCDC112
SCN2A,0,0.694092693226553,0.383,0.051,0,0,SCN2A
CCNI,0,0.692494606990655,0.994,0.979,0,0,CCNI
ATAT1,0,0.688730061728405,0.751,0.426,0,0,ATAT1
NAV1,0,0.688248975330143,0.578,0.26,0,0,NAV1
TCEAL2,0,0.685691802901443,0.588,0.286,0,0,TCEAL2
TCF4,0,0.68528985023861,0.846,0.616,0,0,TCF4
GSTA4,0,0.684588060768818,0.848,0.595,0,0,GSTA4
TSPO,0,0.684416479684494,0.574,0.322,0,0,TSPO
SBK1,0,0.681990560154382,0.601,0.273,0,0,SBK1
SHTN1,0,0.681062082472079,0.562,0.211,0,0,SHTN1
PAK5,0,0.679365460007757,0.328,0.032,0,0,PAK5
PHACTR3,0,0.679158852418888,0.458,0.086,0,0,PHACTR3
DYNC1H1,0,0.679121522505432,0.757,0.562,0,0,DYNC1H1
ARPC5,0,0.678540982662541,0.806,0.653,0,0,ARPC5
JPH4,0,0.674896624200915,0.568,0.23,0,0,JPH4
RUNX1T1,0,0.672955986852052,0.519,0.213,0,0,RUNX1T1
SMIM29,0,0.672798082566995,0.371,0.075,0,0,SMIM29
DPYSL5,0,0.67038201142093,0.561,0.261,0,0,DPYSL5
FNBP1L,0,0.669098145340209,0.827,0.586,0,0,FNBP1L
NEUROG2,0,0.66734201412025,0.357,0.084,0,0,NEUROG2
ST3GAL1,0,0.666908258785786,0.368,0.072,0,0,ST3GAL1
DRAXIN,0,0.666704884181552,0.568,0.277,0,0,DRAXIN
PLXNA2,0,0.664759700922046,0.396,0.09,0,0,PLXNA2
CACNA2D1,0,0.664062656014231,0.377,0.089,0,0,CACNA2D1
TRIR,0,0.663629624662618,0.597,0.311,0,0,TRIR
FJX1,0,0.661038825499844,0.657,0.37,0,0,FJX1
ENO2,0,0.659426045061994,0.796,0.545,0,0,ENO2
WSB2,0,0.659310127424742,0.496,0.204,0,0,WSB2
FAT3,0,0.659163553966774,0.39,0.123,0,0,FAT3
RNF187,0,0.658226683087,0.764,0.475,0,0,RNF187
SH3BP5,0,0.657341068632499,0.565,0.195,0,0,SH3BP5
NCAN,0,0.656636460662042,0.49,0.138,0,0,NCAN
HMGCS1,0,0.656246978432744,0.814,0.676,0,0,HMGCS1
MLLT3,0,0.655444138700605,0.515,0.189,0,0,MLLT3
PRDM8,0,0.654633816431793,0.304,0.014,0,0,PRDM8
SCD5,0,0.651750014252551,0.527,0.233,0,0,SCD5
H1FX,0,0.650620076521369,0.93,0.727,0,0,H1FX
KIF3C,0,0.649729863381123,0.465,0.133,0,0,KIF3C
ATP6V1G2,0,0.647713530812262,0.551,0.192,0,0,ATP6V1G2
MAP4K4,0,0.647348672071259,0.702,0.461,0,0,MAP4K4
KIF3A,0,0.645671243193747,0.706,0.409,0,0,KIF3A
PGAP1,0,0.644401591110072,0.513,0.245,0,0,PGAP1
SPTBN1,0,0.644345459608432,0.557,0.348,0,0,SPTBN1
PALMD,0,0.643088373743923,0.329,0.036,0,0,PALMD
PFDN2,0,0.642258294369453,0.901,0.783,0,0,PFDN2
ZNF462,0,0.640515259975876,0.659,0.448,0,0,ZNF462
COPS9,0,0.639930251224025,0.552,0.287,0,0,COPS9
AAK1,0,0.639173400520866,0.631,0.322,0,0,AAK1
PPP2R5B,0,0.639138366360497,0.455,0.117,0,0,PPP2R5B
GDAP1L1,0,0.63836917321629,0.631,0.225,0,0,GDAP1L1
CTNND2,0,0.638310044487905,0.425,0.155,0,0,CTNND2
FYN,0,0.636346095515886,0.654,0.352,0,0,FYN
NRXN2,0,0.636241732489215,0.501,0.182,0,0,NRXN2
DACT1,0,0.634335246522522,0.366,0.075,0,0,DACT1
SHB,0,0.63270374583049,0.364,0.073,0,0,SHB
CDC42,0,0.632634660412259,0.928,0.836,0,0,CDC42
GPR12,0,0.63069335359509,0.338,0.019,0,0,GPR12
PLPPR2,0,0.630565825829436,0.445,0.108,0,0,PLPPR2
ATP6V0B,0,0.628584197337707,0.835,0.679,0,0,ATP6V0B
ADD2,0,0.628465519899709,0.49,0.219,0,0,ADD2
PPP3CB,0,0.628307023130577,0.58,0.297,0,0,PPP3CB
GPC2,0,0.627817113726267,0.654,0.294,0,0,GPC2
KIF1B,0,0.627664618849229,0.725,0.498,0,0,KIF1B
TRIM2,0,0.624880442784062,0.633,0.421,0,0,TRIM2
CXADR,0,0.622592454503357,0.774,0.617,0,0,CXADR
VSTM2L,0,0.622509438301911,0.366,0.065,0,0,VSTM2L
TMEM14A,0,0.622330276881415,0.69,0.466,0,0,TMEM14A
SARAF,0,0.622095422207801,0.939,0.857,0,0,SARAF
TCEAL7,0,0.621745988006039,0.723,0.502,0,0,TCEAL7
ZNRF1,0,0.620692073316061,0.518,0.227,0,0,ZNRF1
GAREM1,0,0.618889746346841,0.334,0.049,0,0,GAREM1
MYCBP2,0,0.618710018924701,0.666,0.398,0,0,MYCBP2
EIF1AX,0,0.617710264826056,0.925,0.84,0,0,EIF1AX
EPHA5,0,0.617475394640715,0.381,0.065,0,0,EPHA5
SYN1,0,0.617303395366382,0.39,0.074,0,0,SYN1
LIN7B,0,0.615492453609155,0.434,0.116,0,0,LIN7B
NSMF,0,0.615175928484092,0.411,0.119,0,0,NSMF
DPF1,0,0.614630786083599,0.507,0.191,0,0,DPF1
CACNG8,0,0.608792015383902,0.429,0.134,0,0,CACNG8
WDR47,0,0.608708424494536,0.444,0.111,0,0,WDR47
SYT11,0,0.608063169340026,0.676,0.37,0,0,SYT11
YWHAB,0,0.607815480041684,0.911,0.832,0,0,YWHAB
FEZF2,0,0.60716690882652,0.345,0.123,0,0,FEZF2
FKBP1C,0,0.607031927662605,0.529,0.272,0,0,FKBP1C
BACH2,0,0.60630958473856,0.402,0.099,0,0,BACH2
MEX3A,0,0.604732082654504,0.734,0.493,0,0,MEX3A
MIAT,0,0.603722282794953,0.739,0.446,0,0,MIAT
ATCAY,0,0.603198301450294,0.539,0.203,0,0,ATCAY
GABRA2,0,0.602227617290304,0.348,0.057,0,0,GABRA2
PCDH9,0,0.602049955322648,0.482,0.203,0,0,PCDH9
AC025171.3,0,0.599906083381871,0.416,0.144,0,0,AC025171.3
NEO1,0,0.599893385723069,0.421,0.152,0,0,NEO1
SULT4A1,0,0.598891666294405,0.393,0.068,0,0,SULT4A1
NORAD,0,0.598658196615212,0.342,0.109,0,0,NORAD
PRKCB,0,0.598195819200651,0.332,0.13,0,0,PRKCB
BRI3,0,0.597993240028432,0.804,0.606,0,0,BRI3
PDZD4,0,0.596497683600276,0.398,0.118,0,0,PDZD4
AK1,0,0.595450008095122,0.617,0.351,0,0,AK1
SLC8A1,0,0.594699209715738,0.4,0.11,0,0,SLC8A1
CELF5,0,0.59444621769104,0.53,0.195,0,0,CELF5
GRB2,0,0.592625505863024,0.649,0.421,0,0,GRB2
AKAP9,0,0.58950141212734,0.833,0.625,0,0,AKAP9
DAB1,0,0.589474485825343,0.348,0.069,0,0,DAB1
RAB2A,0,0.587998284593985,0.875,0.734,0,0,RAB2A
NEDD4L,0,0.587569817281945,0.619,0.325,0,0,NEDD4L
CAMKK2,0,0.587075382035807,0.427,0.154,0,0,CAMKK2
SMARCA2,0,0.586908473733081,0.401,0.135,0,0,SMARCA2
DDAH2,0,0.58579036813298,0.886,0.753,0,0,DDAH2
NFASC,0,0.584793703510618,0.418,0.09,0,0,NFASC
ATRX,0,0.583019749743952,0.86,0.743,0,0,ATRX
MYO6,0,0.582662409114143,0.567,0.384,0,0,MYO6
SELENOW,0,0.581863373148662,0.558,0.293,0,0,SELENOW
TNIK,0,0.580712108512181,0.441,0.171,0,0,TNIK
ENDOG,0,0.579736929319781,0.464,0.19,0,0,ENDOG
FGF12,0,0.577486547511786,0.301,0.072,0,0,FGF12
CCSAP,0,0.577204476540341,0.395,0.108,0,0,CCSAP
PEBP1,0,0.574978314339449,0.981,0.952,0,0,PEBP1
COX7A2,0,0.57438662362456,0.971,0.955,0,0,COX7A2
SRPK2,0,0.574188613145115,0.765,0.568,0,0,SRPK2
MARCH6,0,0.572408467251475,0.696,0.479,0,0,MARCH6
MARCKSL1,0,0.572277677375228,0.998,0.988,0,0,MARCKSL1
ACTL6B,0,0.571967272938303,0.457,0.105,0,0,ACTL6B
MYO5A,0,0.571182524264243,0.396,0.122,0,0,MYO5A
ATP1A3,0,0.569750472225468,0.481,0.138,0,0,ATP1A3
AFF3,0,0.569424467675058,0.353,0.058,0,0,AFF3
NDUFA5,0,0.56918314485625,0.871,0.77,0,0,NDUFA5
CACNA1A,0,0.569143774506796,0.378,0.103,0,0,CACNA1A
PPP1R14C,0,0.568906149317402,0.294,0.049,0,0,PPP1R14C
ST6GAL2,0,0.568302642885942,0.319,0.091,0,0,ST6GAL2
NBDY,0,0.565391071291953,0.536,0.278,0,0,NBDY
NUDT3,0,0.564838618126557,0.717,0.509,0,0,NUDT3
MAPRE3,0,0.563003136875822,0.521,0.178,0,0,MAPRE3
TSC22D1,0,0.562773035121115,0.91,0.795,0,0,TSC22D1
RETREG2,0,0.561173600188515,0.344,0.092,0,0,RETREG2
SEMA6D,0,0.558871874341298,0.272,0.067,0,0,SEMA6D
TIMP2,0,0.555534841692395,0.409,0.189,0,0,TIMP2
RGS17,0,0.555405664548412,0.467,0.164,0,0,RGS17
KCNG1,0,0.552369193662482,0.342,0.144,0,0,KCNG1
SSBP2,0,0.551650083728189,0.673,0.506,0,0,SSBP2
ATP8A2,0,0.550721606318399,0.315,0.046,0,0,ATP8A2
PRKACB,0,0.550395428376689,0.423,0.165,0,0,PRKACB
C11orf96,0,0.549872377067615,0.413,0.13,0,0,C11orf96
RUNDC3A,0,0.548124999458546,0.437,0.11,0,0,RUNDC3A
SEZ6L,0,0.545376904936674,0.324,0.062,0,0,SEZ6L
APC,0,0.544379238602694,0.6,0.329,0,0,APC
PFKM,0,0.544256251588445,0.602,0.351,0,0,PFKM
DLGAP1,0,0.543611292831497,0.382,0.105,0,0,DLGAP1
ANK3,0,0.543321897873182,0.531,0.248,0,0,ANK3
GABARAPL2,0,0.543013405025658,0.93,0.843,0,0,GABARAPL2
CCNG2,0,0.542782114219037,0.6,0.329,0,0,CCNG2
HCFC1R1,0,0.542516711459366,0.635,0.433,0,0,HCFC1R1
ZC2HC1A,0,0.541787713748393,0.652,0.377,0,0,ZC2HC1A
SMG1,0,0.540881662393822,0.534,0.319,0,0,SMG1
RPAIN,0,0.539998070884055,0.851,0.706,0,0,RPAIN
LINC00461,0,0.538591968449765,0.741,0.409,0,0,LINC00461
MTRNR2L12,0,0.536546706943396,0.468,0.268,0,0,MTRNR2L12
TMEM161B-AS1,0,0.535261496834993,0.752,0.475,0,0,TMEM161B-AS1
RHOB,0,0.535187285714701,0.567,0.293,0,0,RHOB
KIF21A,0,0.53508408704644,0.765,0.552,0,0,KIF21A
DOK5,0,0.535052179207288,0.437,0.26,0,0,DOK5
ITFG1,0,0.534966982272037,0.563,0.32,0,0,ITFG1
PLPPR1,0,0.534684142895569,0.373,0.078,0,0,PLPPR1
TTC28,0,0.534539223006613,0.395,0.157,0,0,TTC28
PODXL2,0,0.534518185111608,0.551,0.312,0,0,PODXL2
VPS28,0,0.534200740629545,0.819,0.642,0,0,VPS28
EPB41L3,0,0.533896364660824,0.351,0.094,0,0,EPB41L3
B3GALT2,0,0.533611804811763,0.277,0.032,0,0,B3GALT2
MGLL,0,0.532781644306397,0.286,0.036,0,0,MGLL
NDUFC2,0,0.532127191491454,0.926,0.855,0,0,NDUFC2
TOP2B,0,0.531974163168564,0.701,0.503,0,0,TOP2B
ARL8A,0,0.531413934416198,0.492,0.238,0,0,ARL8A
TBCB,0,0.530786839233828,0.847,0.77,0,0,TBCB
DACH2,0,0.529773161496074,0.313,0.041,0,0,DACH2
CTTNBP2,0,0.529747746673414,0.368,0.151,0,0,CTTNBP2
MPPED1,0,0.529103843686188,0.279,0.033,0,0,MPPED1
ARHGDIG,0,0.528706711809789,0.299,0.044,0,0,ARHGDIG
TUBB4A,0,0.52858674796994,0.42,0.128,0,0,TUBB4A
TCEAL1,0,0.526445027730457,0.579,0.304,0,0,TCEAL1
NREP,0,0.525426050792159,0.888,0.779,0,0,NREP
ZNF148,0,0.523126924589465,0.641,0.398,0,0,ZNF148
SLITRK4,0,0.522685176912291,0.329,0.113,0,0,SLITRK4
BEX4,0,0.521951551303656,0.823,0.699,0,0,BEX4
LMO7,0,0.521156526190888,0.275,0.054,0,0,LMO7
PHF20L1,0,0.521072481953427,0.603,0.392,0,0,PHF20L1
ARL4D,0,0.521048370568333,0.453,0.211,0,0,ARL4D
NEUROD1,0,0.51996633462401,0.252,0.035,0,0,NEUROD1
DTD1,0,0.519192036907795,0.773,0.605,0,0,DTD1
MAP1A,0,0.519077489155063,0.578,0.305,0,0,MAP1A
DAAM1,0,0.51888390511817,0.789,0.56,0,0,DAAM1
KLF7,0,0.518605339992193,0.519,0.219,0,0,KLF7
EIF1B,0,0.517932876203317,0.93,0.893,0,0,EIF1B
SLC25A4,0,0.51792833852252,0.704,0.531,0,0,SLC25A4
C14orf132,0,0.516234332052956,0.467,0.217,0,0,C14orf132
SYBU,0,0.515738963515294,0.357,0.11,0,0,SYBU
KIAA1191,0,0.51504278394291,0.653,0.46,0,0,KIAA1191
